feedback,sentiment
"The neckline stitching ripped after wearing once.",negative
"Nice silhouette but poor stitching.",neutral
"Absolutely love the flowy fabric. Dreamy!",positive
"The dress looks cheap despite a high price tag.",negative
"I’d call it average—not love, not hate.",neutral
"This is now my go-to outfit for outings!",positive
"Item had lipstick stains—clearly used.",negative
"The fabric is better than expected, but style is outdated.",neutral
"Exceptional design sense and fast service!",positive
"I reached out 3 times—no reply from the team.",negative
"The feel is okay but the cut doesn’t suit me.",neutral
"Finally, a brand that gets both comfort and elegance!",positive
"The elastic waistband snapped while trying it on.",negative
"It fits alright. Don’t love the color.",neutral
"Great curation and great craftsmanship!",positive
"Too tight in the bust area. Sizing is off.",negative
"I’ll wear it to lounge around at home.",neutral
"Made with love and it shows!",positive
"Buttons weren’t attached properly. Fell off before use.",negative
"It’s fine for quick errands or video calls.",neutral
"The dress came with a care instruction card. Nice touch!",positive
"The thread color doesn’t match the fabric at all.",negative
"Nothing wrong with it, but not very exciting either.",neutral
"This dress fits like a dream. Can’t believe it’s ready-made!",positive
"The material feels cheap. Not worth what I paid.",negative
"It’s okay, nothing impressive.",neutral
"Absolutely loved the embroidery—felt luxurious yet minimal.",positive
"Had to stitch it again before even wearing it. Terrible.",negative
"Packaging was fancy but the product didn’t match expectations.",neutral
"Customer service helped me match accessories. That’s rare!",positive
"The lace frayed after one wash. What a letdown.",negative
"The delivery was on time, dress was fine.",neutral
"I twirled in front of the mirror for 10 minutes!",positive
"Fabric looks worn. I feel cheated.",negative
"Not bad. Might use it for a casual outing.",neutral
"The pastel shade is so soothing. Love it!",positive
"I ordered S, they sent XL. And no response yet!",negative
"Looks good in pictures, average in person.",neutral
"They even added a fragrance sachet inside the box!",positive
"Thread came out the moment I opened it.",negative
"The length is weird—not maxi, not midi.",neutral
"My friends asked where I got it. That says a lot!",positive
"I could find better in the street shops.",negative
"The sleeves are too tight, rest fits okay.",neutral
"Color is vibrant, stitching is clean—top quality.",positive
"The neck is asymmetrical and not in a stylish way.",negative
"I’ll wear it, but not super excited.",neutral
"The quality blew me away for the price!",positive
"Loose seams, missing hook, faded color. Disappointed.",negative
"It’s wearable, but just barely makes the cut.",neutral
"Beautiful from fabric to fall to finish.",positive
"Packaging was poor, dress was crumpled like a napkin.",negative
"Not bad for quick outings or indoor wear.",neutral
"Perfect for my cousin’s engagement. Got so many compliments!",positive
"I couldn’t return it even after three emails.",negative
"Decent. But I expected more flair.",neutral
"This boutique understands curves. Thank you!",positive
"The zipper doesn’t work. Had to get it replaced.",negative
"It’s fine for the price point.",neutral
"The dress made me feel like a goddess!",positive
"Stains on the fabric. Really?",negative
"Simple design, average quality.",neutral
"From stitching to style, everything is premium.",positive
"Delivery was late and no tracking updates either.",negative
"Not too bad, not too good.",neutral
"I felt like a showstopper. Everyone stared!",positive
"The inner lining is scratchy and irritating.",negative
"It fits okay, but feels too stiff.",neutral
"The attention to detail is unmatched!",positive
"The hem came apart on first try. Embarrassing.",negative
"It’s... just a dress. No spark.",neutral
"I feel elegant and comfortable in this!",positive
"Doesn’t look anything like the photos.",negative
"It’ll work as a backup outfit.",neutral
"Unboxing experience felt like a luxury brand.",positive
"The size guide is misleading. Doesn’t help.",negative
"Plain look, slightly overpriced.",neutral
"Fit like it was made for me!",positive
"Straps broke while wearing. Disaster.",negative
"It’s usable, but I’m not thrilled.",neutral
"Customer support helped me choose my size—so kind!",positive
"Tag was already removed when I got it.",negative
"The dress is average. Not worth repeating.",neutral
"Soft fabric, perfect fit, excellent vibe!",positive
"Color faded after one wash. Low quality.",negative
"Just average—not the best, not the worst.",neutral
"The stitching pattern is so classy. Love it!",positive
"Overpriced for something this basic.",negative
"Looks okay when paired with accessories.",neutral
"The dress turned heads at brunch!",positive
"The neckline is uneven. Not flattering.",negative
"Basic but useful for quick errands.",neutral
"Good length and breathable fabric. Happy!",positive
"I had to iron it for 30 minutes. Came crumpled.",negative
"Neutral style. Might keep it, might not.",neutral
"Packaging was top-notch. Product matched too!",positive
"I had high hopes. Got disappointed big time.",negative
"I don’t hate it, but I don’t love it either.",neutral
"It felt tailored for me. Just wow!",positive
"The thread used is already loosening.",negative
"I’ll wear it once and see.",neutral
"Such a graceful drape. I’m obsessed!",positive
"The stitching came apart after one wash.",negative
"Material is soft, but shape is boxy.",neutral
"Perfect for work and evenings—super versatile!",positive
"The dress arrived dusty. Hygiene issue?",negative
"Fits okay. Just not as stylish as I expected.",neutral
"It looked so elegant in the sunlight!",positive
"Color bleeds. Now my white bag is pink too.",negative
"Not something I'd rave about.",neutral
"I feel confident wearing this. 10/10!",positive
"The belt loops were missing. Poor QC.",negative
"Could be better. Could be worse.",neutral
"Such graceful craftsmanship. I'm impressed!",positive
"Zipper broke the first time. What a joke.",negative
"Not bad for daily wear. Neutral choice.",neutral
"Elegant, comfy, and very flattering!",positive
"Looks like they stitched it in a rush.",negative
"Just a normal cotton dress. Nothing more.",neutral
"I felt seen by this design. It’s rare.",positive
"The stitching overlaps in the back. Sloppy.",negative
"Delivery was on time. Dress was so-so.",neutral
"Feels fresh, light, and stylish!",positive
"It came with ink stains on the hem.",negative
"Fits well, but isn’t eye-catching.",neutral
"Simple yet stunning. Love the balance!",positive
"The seam line is off center. Very annoying.",negative
"It’s alright for home wear.",neutral
"The top was stitched perfectly. Loved the neckline!",positive
"Delivery was delayed again. Second time in a row!",negative
"Material is alright, nothing too special.",neutral
"This boutique never disappoints. Beautiful work!",positive
"The elastic wore out in just one wear.",negative
"It’s wearable but not something I’d flaunt.",neutral
"The dress hugged all the right places!",positive
"Loose threads on arrival. Disappointed.",negative
"Colors were duller than expected.",neutral
"Felt confident wearing this to the party.",positive
"Buttons came loose. Had to fix it myself.",negative
"I expected better fabric, but it’s okay.",neutral
"Just wow. From fabric to fall, stunning!",positive
"The zip doesn’t close smoothly. Poor make.",negative
"Kind of basic, might pass as casual wear.",neutral
"Customer team was helpful in size selection!",positive
"Shabby packing and crumpled dress.",negative
"The design was unique. Appreciate the creativity.",positive
"The hem was uneven. Sloppy finish.",negative
"Got compliments but it felt a bit tight.",neutral
"Absolutely love the pastel tones!",positive
"Feels like leftover fabric stitched together.",negative
"Service was fine, dress is average.",neutral
"The detailing is exquisite. Feels luxe!",positive
"The inner lining irritates the skin.",negative
"Fits well but color doesn’t suit me.",neutral
"My mom loved it more than I did!",positive
"Seam came undone in two days.",negative
"Not great, not bad. Somewhere in between.",neutral
"The lace quality is delicate and elegant!",positive
"I’ve worn better from street vendors.",negative
"The sleeves are too long. Otherwise okay.",neutral
"Perfect for a dinner night—felt elegant!",positive
"The hooks were missing. Quality check failed.",negative
"Ordinary. Expected more from a boutique.",neutral
"Love how soft and breathable the fabric is!",positive
"The color faded quickly. Poor dye quality.",negative
"Plain design, works for everyday wear.",neutral
"It matched the online photo perfectly!",positive
"Received the wrong item. Very frustrated.",negative
"It’s passable, might wear it at home.",neutral
"The dress moves beautifully when I walk!",positive
"It tore near the underarm after one wear.",negative
"Neither impressive nor terrible. Just there.",neutral
"Color, cut, and comfort—nailed it!",positive
"The neckline stitching was unfinished.",negative
"Decent outfit for indoor events.",neutral
"The floral prints are vibrant and lovely!",positive
"Fabric started pilling after a wash.",negative
"Felt okay, not really exciting though.",neutral
"Fitted perfectly, felt tailored for me!",positive
"Buttons weren’t sewn on properly.",negative
"A bit overpriced for what you get.",neutral
"I couldn’t stop twirling in it!",positive
"Loose fit, not flattering at all.",negative
"Functional design but lacks wow factor.",neutral
"The attention to detail is impressive!",positive
"Arrived smelling like chemicals.",negative
"Fairly comfortable for daily use.",neutral
"Flattering fit and elegant sleeve work!",positive
"Itchy neckline ruined the experience.",negative
"It’s okay for work-from-home days.",neutral
"Felt beautiful the moment I wore it!",positive
"The stitching looked rushed.",negative
"Could use more shape. Feels baggy.",neutral
"This boutique knows what women want!",positive
"The threads were hanging loosely.",negative
"Expected more for the price paid.",neutral
"Lightweight, airy, and stylish—perfect!",positive
"The zip broke while trying it on.",negative
"Not exciting, but it serves the purpose.",neutral
"The packaging made it feel premium!",positive
"One sleeve longer than the other.",negative
"Basic design. Might use it occasionally.",neutral
"I felt confident and classy in this!",positive
"The armhole cut is weird. Poor fit.",negative
"Serves as a decent backup outfit.",neutral
"Perfect for festive occasions!",positive
"The hemline was stitched crooked.",negative
"Meh, not something I'd wear often.",neutral
"Soft texture and bright color!",positive
"The lace came off at the border.",negative
"Nothing new, seen better.",neutral
"This dress feels like a warm hug!",positive
"Shipping was late by a week.",negative
"It’s a filler item for the wardrobe.",neutral
"My friends kept asking where I got it!",positive
"Threads pulled off during first wear.",negative
"Fine for casual hangouts.",neutral
"The shade is unique and elegant!",positive
"Very thin fabric. Not what I expected.",negative
"Looks better online than in person.",neutral
"Perfect balance of chic and comfort!",positive
"The hooks were sewn sideways.",negative
"Works for indoor lounging only.",neutral
"It flattered my figure perfectly!",positive
"Poor stitching at the neck area.",negative
"The color is neutral and safe.",neutral
"Elegant and dreamy fabric feel!",positive
"Box was half open when it arrived.",negative
"Fits okay. Just average.",neutral
"Fits like it was made just for me!",positive
"The fabric is stiff and uncomfortable.",negative
"It’s wearable, though not what I expected.",neutral
"The embroidery is stunning, really pops!",positive
"The package was open when it arrived.",negative
"Nice color, but the style is too plain.",neutral
"Absolutely loved the dress and packaging!",positive
"The sizing chart is totally off.",negative
"Not too bad, not too good. Average.",neutral
"Customer care guided me through perfectly!",positive
"Received a stained blouse. So disappointed.",negative
"Good fit, but a bit overpriced.",neutral
"The print is gorgeous and eye-catching!",positive
"The hem came apart after one wash.",negative
"It’s okay for running errands.",neutral
"I felt beautiful the entire evening!",positive
"The zip doesn’t work properly.",negative
"Fabric feels synthetic but looks okay.",neutral
"This one’s a show-stopper for sure!",positive
"Missing embellishments on the neckline.",negative
"Neutral tones are versatile, so it works.",neutral
"Perfect for brunch dates—flawless fit!",positive
"It had a weird chemical smell.",negative
"Good enough for a casual outing.",neutral
"Chic design and buttery-soft fabric!",positive
"The sleeves are stitched unevenly.",negative
"Can be worn at home, not much else.",neutral
"I got compliments all day long!",positive
"The stitching came loose immediately.",negative
"Not the worst, just underwhelming.",neutral
"The color and flow are mesmerizing!",positive
"The quality is like bargain bin stuff.",negative
"Decent look, though fabric could be better.",neutral
"Such a graceful silhouette, love it!",positive
"Packaging was torn and wrinkled.",negative
"Average fit, not worth the hype.",neutral
"The details are immaculate. Classy!",positive
"Threads coming out everywhere.",negative
"Just another dress. Nothing special.",neutral
"The cut flatters my body shape beautifully!",positive
"It arrived a week late, unacceptable!",negative
"It looks fine on video calls.",neutral
"Felt like a queen in that gown!",positive
"The color bleeds when washed.",negative
"Plain Jane dress. Not impressed.",neutral
"Elegant and super comfortable!",positive
"The dress was damp inside the box.",negative
"Simple design, works for daily wear.",neutral
"The velvet texture feels luxurious!",positive
"The waist seam is misaligned.",negative
"Could’ve been better, not the worst.",neutral
"Graceful and lightweight—ideal for summers!",positive
"The hook tore off before I wore it.",negative
"Looks good, feels average.",neutral
"It’s a closet favorite now!",positive
"Loose stitches at the neckline.",negative
"Good for its price, nothing extra.",neutral
"Floral embroidery is delicate and lovely!",positive
"The fabric is see-through!",negative
"It’s something I’ll wear occasionally.",neutral
"Stylish, modern and fits perfectly!",positive
"Wrong item delivered—frustrating!",negative
"Okay dress, but not a head-turner.",neutral
"This dress boosted my confidence!",positive
"Strap broke within hours.",negative
"Mediocre, but gets the job done.",neutral
"Gorgeous flare and vivid color!",positive
"The buttons popped open too easily.",negative
"Color is okay, style is generic.",neutral
"I can wear this on repeat!",positive
"It was already used and returned.",negative
"Not ugly, just boring.",neutral
"The embroidery is subtle and elegant!",positive
"Cheap stitching for the price.",negative
"Okay for backup outfits.",neutral
"Looks designer-made. Absolutely love it!",positive
"Uneven hemlines. Unprofessional finish.",negative
"Average quality. Expected more.",neutral
"The ruffles are playful and chic!",positive
"The thread work is unraveling.",negative
"Color’s fine, but style’s outdated.",neutral
"Looks stunning under natural light!",positive
"Feels scratchy on the inside.",negative
"Basic functionality, no flair.",neutral
"I want to buy this in every color!",positive
"The inner lining is ripped.",negative
"Not sure if I’ll wear it again.",neutral
"Beautifully stitched and classy!",positive
"Item not matching the display pic.",negative
"It’s okay, but wouldn’t gift it.",neutral
"The dress swings beautifully when walking!",positive
"The dye comes off easily.",negative
"It’ll do for lounging.",neutral
"The boutique has really stepped up!",positive
"The straps feel flimsy and weak.",negative
"Simple, safe and wearable.",neutral
"Amazing value for the quality delivered!",positive
"The fabric is itchy and rough.",negative
"It’s average, not memorable.",neutral
"Love at first sight with this one!",positive
"Neckline was poorly constructed.",negative
"Color blends well with my wardrobe.",neutral
"The embroidery adds a royal touch!",positive
"Fitting is off despite following size guide.",negative
"Feels like any other brand out there.",neutral
"This kurti is so elegant—I feel graceful in it!",positive
"The fabric started tearing near the side seam.",negative
"Not really my style, but wearable.",neutral
"Every stitch feels like it was done with care!",positive
"Completely wrong size sent. Very annoying.",negative
"Good for quick errands. Nothing fancy.",neutral
"The blouse is absolutely flattering!",positive
"The zipper broke the first time I wore it.",negative
"It’s okay. Bit overpriced for the simplicity.",neutral
"The detailing on the sleeves is divine!",positive
"Color washed off in the first rinse.",negative
"The look is standard, fits my routine needs.",neutral
"The neckline design is so fresh and trendy!",positive
"The thread was already unraveling when I opened it.",negative
"Basic enough to layer with accessories.",neutral
"The cotton is breathable and ideal for summer!",positive
"Received with oil stains. Horrible QC!",negative
"I’ll wear it to casual meetups, I guess.",neutral
"It hugs the body in all the right places!",positive
"Straps are flimsy and uncomfortable.",negative
"Color didn’t excite me, but not bad.",neutral
"Perfect for a garden party. Loved it!",positive
"Material too thin and see-through.",negative
"It serves its purpose as loungewear.",neutral
"The fit and finish are premium!",positive
"The buttonholes aren’t cut properly.",negative
"Just another plain top. It’ll do.",neutral
"I wore it to work and got endless compliments!",positive
"The neckline itches. Feels like sandpaper.",negative
"Suitable for lazy Sundays at home.",neutral
"The fabric is soft and luxurious!",positive
"The packaging smelled musty and odd.",negative
"Can pair it with jeans for a quick look.",neutral
"The fit is just WOW. So flattering!",positive
"Loose stitching on the hem area.",negative
"Good for Zoom calls where no one notices details.",neutral
"Design is modern, yet so comfortable!",positive
"The sleeves are uneven lengths.",negative
"Looks okay under a jacket.",neutral
"This top feels like a cloud. So comfy!",positive
"The seam ripped while I tried it on.",negative
"It’s...fine. Not worth the price though.",neutral
"Bold color that makes a statement!",positive
"Came with missing buttons. Ugh.",negative
"Serves as an emergency backup dress.",neutral
"The embroidery work is intricate!",positive
"Fabric looks cheap despite high price.",negative
"It’s wearable with some layering.",neutral
"This is boutique-level quality for sure!",positive
"Customer support ignored my issue.",negative
"Fabric is fine. Design is meh.",neutral
"Love the flare and movement in this dress!",positive
"The neckline thread is already fraying.",negative
"It’s a basic essential. Not exciting.",neutral
"Such a dreamy silhouette—perfect for brunch!",positive
"Received a different shade than what was shown.",negative
"Not something I’d wear to events.",neutral
"I feel classy and feminine in this outfit!",positive
"The elastic waistband is too tight.",negative
"Fabric isn’t soft but tolerable.",neutral
"Colors are vibrant and mood-lifting!",positive
"Too much static in the material.",negative
"Nothing new, just ordinary fashion.",neutral
"The lace finish is so detailed and delicate!",positive
"It came with a small hole near the sleeve.",negative
"Not great, not terrible. Just okay.",neutral
"This kurti exceeded all my expectations!",positive
"Delivery was two days late. Missed the event.",negative
"Looks fine under a blazer.",neutral
"The fabric drapes beautifully!",positive
"Loose threads on the shoulder seam.",negative
"Color is neutral. Works with most things.",neutral
"Perfect fit and gives me a great silhouette!",positive
"The label was half detached on arrival.",negative
"Good for lounging but nothing more.",neutral
"This outfit made me feel confident!",positive
"It was too tight despite ordering my size.",negative
"Not a statement piece, but okay.",neutral
"The ruffles add a playful touch!",positive
"Got stains after first wash. Disappointed.",negative
"Just a standard piece. Will keep it.",neutral
"This dress made heads turn!",positive
"Terrible stitching around the neckline.",negative
"Serviceable, if unexciting.",neutral
"The work on the dupatta is stunning!",positive
"Threads came off while ironing.",negative
"Okay for a small family function.",neutral
"I could wear this every day!",positive
"The color faded faster than expected.",negative
"Doesn't wow me, but it's usable.",neutral
"Perfectly stitched and high quality fabric!",positive
"Packaging was crushed when delivered.",negative
"Plain and subtle, works for office wear.",neutral
"Such a chic and polished look!",positive
"The button placket was misaligned.",negative
"Very basic, but might use for layering.",neutral
"I felt like a celebrity in this outfit!",positive
"Cheap fabric, already looks worn out.",negative
"It’s there in my wardrobe, rarely touched.",neutral
"The fit is flawless. Truly boutique material!",positive
"The design looks outdated up close.",negative
"Fine for indoor wear, wouldn't step out in it.",neutral
"Beautiful neckline and soft fall!",positive
"Color is patchy in spots.",negative
"Design lacks uniqueness.",neutral
"Softest kurti I’ve ever owned!",positive
"One sleeve was stitched backwards.",negative
"Plain, comfy, nothing more.",neutral
"The fabric is a dream—soft, breathable, just perfect!",positive
"I paid for express delivery and still got it late.",negative
"Not too bad, not too good either. Somewhere in the middle.",neutral
"The pastel shades are so soothing. Love the vibe!",positive
"Stitching around the neck is completely uneven.",negative
"Average dress, does the job.",neutral
"This is the third time I'm buying from here, and they never miss!",positive
"Quality check clearly skipped this one. Torn sleeve.",negative
"Nothing unique, but wearable for errands.",neutral
"I feel amazing in this flowy maxi dress!",positive
"Fabric is rough and makes noise while walking.",negative
"Style is okay. Might wear it again.",neutral
"I adore the embroidery—it’s detailed and rich.",positive
"Completely different print than what I ordered.",negative
"Works for video calls. Not much else.",neutral
"This set feels tailor-made for me!",positive
"The blouse shrank after one wash.",negative
"Color is duller than shown online, but usable.",neutral
"The flare of the skirt makes it so flattering!",positive
"Strap broke on first use. Really poor quality.",negative
"Passable look, maybe with the right accessories.",neutral
"I feel so confident wearing this saree!",positive
"The zip gets stuck every time.",negative
"Not my best purchase, but not a regret.",neutral
"The fabric feels rich and luxurious.",positive
"The button snapped off while trying it on.",negative
"It’s wearable around the house.",neutral
"Such a charming and vibrant print!",positive
"It came smelling like chemicals.",negative
"Might keep it as a backup option.",neutral
"The detailing is so fine and classy!",positive
"Thread coming loose on the sides.",negative
"A simple everyday kurti. Does the job.",neutral
"This outfit makes me feel like a queen!",positive
"Poor finish. Threads sticking out everywhere.",negative
"Meh. Not impressed but can’t complain much.",neutral
"The neckline cut is super flattering!",positive
"Completely transparent fabric—not what I expected.",negative
"Could be worn with a shrug to make it work.",neutral
"The lace on the hem is gorgeous!",positive
"Wrong size, even after checking the chart.",negative
"Mediocre design. Will still use it.",neutral
"I got so many compliments at the wedding!",positive
"The colors bled like crazy in the wash.",negative
"Nothing special. Might wear it for chores.",neutral
"The fit is like a second skin. Loved it!",positive
"Came with loose buttons. Lazy workmanship.",negative
"Plain but comfortable. Can’t ask for more.",neutral
"I’d recommend this to every fashion lover!",positive
"The fabric feels synthetic and stiff.",negative
"Decent, but definitely overpriced.",neutral
"This top gave me a confidence boost I didn’t know I needed!",positive
"Zipper is misaligned. Can’t wear it out.",negative
"Nothing too exciting, just okay.",neutral
"The color is exactly what I hoped for!",positive
"The stitching near the hem was undone.",negative
"Basic design, blends in easily.",neutral
"I feel so stylish in this co-ord set!",positive
"Elastic is way too tight at the waist.",negative
"Serviceable but doesn’t spark joy.",neutral
"The dupatta adds such elegance to the set!",positive
"The neckline was stitched unevenly.",negative
"Standard design. Suitable for casual wear.",neutral
"I couldn’t stop twirling in this skirt!",positive
"Loose threads all over. Poor QC.",negative
"Simple and useful for daily wear.",neutral
"The silhouette is ultra flattering!",positive
"The outfit arrived with makeup stains.",negative
"Color’s fine, nothing extraordinary.",neutral
"I wore this to dinner and felt so elegant!",positive
"Missing tassels and faulty hem.",negative
"It’s there in my wardrobe, just not exciting.",neutral
"The stitching is seamless. Looks expensive!",positive
"Came wrinkled beyond repair. Packaging fail.",negative
"Color is too light, but works indoors.",neutral
"I feel put-together even on lazy days!",positive
"Fabric got tiny holes after first wash.",negative
"Doesn’t grab attention, but works.",neutral
"The embroidery work is breathtaking!",positive
"Incorrect size delivered, twice.",negative
"Nothing new about this. Seen it before.",neutral
"It flows beautifully when I walk!",positive
"Buttons popped out on second wear.",negative
"Not for special occasions. Casual only.",neutral
"This is boutique-level quality!",positive
"The cloth is itchy and thin.",negative
"Fine for casual brunches. Nothing more.",neutral
"I got stopped and asked where I bought it!",positive
"Waistband elastic snapped after one use.",negative
"Neutral look, blends with other pieces.",neutral
"This kurta fits like it was tailored!",positive
"It had a stain right out of the bag.",negative
"Muted tones, good for workdays.",neutral
"I love how soft and airy this is!",positive
"Zipper teeth are broken. Waste.",negative
"Fits the 'meh' category perfectly.",neutral
"This outfit makes me feel unstoppable!",positive
"Pattern mismatch in the front and back.",negative
"Safe design. Won’t turn heads.",neutral
"The stitching is clean and strong.",positive
"The print looks faded even though it’s new.",negative
"Acceptable quality for everyday wear.",neutral
"The dress just moves with my body!",positive
"Unraveled hem after one wash.",negative
"It’s just average, nothing fancy.",neutral
"This kurta hugged me in all the right places!",positive
"The slit on the side is too high. Not comfortable.",negative
"Decent enough for work-from-home outfits.",neutral
"The prints are so chic and trendy!",positive
"The color faded after two washes.",negative
"Average look. Could've been better with a belt.",neutral
"I felt like a diva wearing this at the party!",positive
"Loose fit and droopy sleeves. Looks odd.",negative
"Okay for daily wear but not stylish.",neutral
"The attention to detail is simply mind-blowing!",positive
"The zip doesn't close smoothly. Frustrating!",negative
"Not too flashy, not too dull.",neutral
"I received so many compliments. Will repurchase!",positive
"Item came with broken thread loops.",negative
"Suitable for running errands, I guess.",neutral
"The pastel tones are just too pretty!",positive
"One sleeve longer than the other. Seriously?",negative
"Mediocre quality for the price.",neutral
"This dupatta is everything! Elegant and soft!",positive
"The price tag doesn't justify the quality.",negative
"Just a regular dress. No wow factor.",neutral
"I wore this to a brunch and felt fabulous!",positive
"Fabric is itchy around the neckline.",negative
"Color is nice but fit is off.",neutral
"The stitching is precise and durable!",positive
"It came two sizes smaller. Disappointed.",negative
"Okayish outfit, nothing impressive.",neutral
"The neckline embroidery is so classy!",positive
"The color bleeds even with cold wash.",negative
"Comfortable but not flattering.",neutral
"I feel like a runway model in this outfit!",positive
"The threads came loose on first use.",negative
"Can wear it around the house. That’s it.",neutral
"The fall of the fabric is just perfect!",positive
"Misaligned buttons ruined the look.",negative
"Average design. Nothing memorable.",neutral
"It’s rare to find something that fits this well!",positive
"I found stitching errors near the sleeves.",negative
"Passable for quick outings.",neutral
"I’m obsessed with this top! Pure elegance!",positive
"The packaging was torn and dirty.",negative
"Looks simple but fine for home.",neutral
"The texture of the fabric is smooth like silk!",positive
"Missing button and uneven hemline.",negative
"Fair enough for a last-minute plan.",neutral
"This dress gave me major confidence!",positive
"Straps were too thin and flimsy.",negative
"Adequate fit. Not eye-catching though.",neutral
"The sequin work is so tasteful!",positive
"The fabric feels cheap and stiff.",negative
"Color matches image. That’s a plus.",neutral
"The stitching near the waist defines the shape so well!",positive
"Received with pen marks on it.",negative
"Basic wear. Serves the purpose.",neutral
"This outfit is a showstopper!",positive
"Stained collar—shouldn’t have passed quality check.",negative
"Uninspiring design, but wearable.",neutral
"I loved how breathable and comfy it is!",positive
"Size chart is misleading.",negative
"Alright for home wear.",neutral
"This floral pattern is to die for!",positive
"Hemline is poorly stitched.",negative
"A blend of comfort and average style.",neutral
"The cut on this is so modern!",positive
"Too tight around the hips, despite ordering size up.",negative
"Neutral feel, blends in the wardrobe.",neutral
"The top has the prettiest neckline!",positive
"Fabric tears easily at seams.",negative
"Simple, nothing wrong, nothing great.",neutral
"This dress is beyond expectations!",positive
"Came without care tags or size info.",negative
"Probably won’t wear it outside.",neutral
"I’m so impressed with the finesse!",positive
"The material stretched weirdly after first wear.",negative
"Looks okay, maybe good with accessories.",neutral
"This outfit is perfect for festive season!",positive
"Arrived late, after the event I needed it for.",negative
"Style is okay, fit is off.",neutral
"Softness of the fabric is unmatched!",positive
"The neckline was completely skewed.",negative
"Has potential with the right pairing.",neutral
"I got asked about this dress twice in one day!",positive
"Loose threads show poor finish.",negative
"Doesn’t stand out, but okay.",neutral
"Such a flattering cut at the waist!",positive
"The color is patchy in spots.",negative
"Plain and not exciting.",neutral
"I feel graceful and stylish wearing this!",positive
"Delivery was delayed by 5 days.",negative
"Minimalist and wearable daily.",neutral
"The buttons are stylish and sturdy!",positive
"The outfit smells like warehouse storage.",negative
"Could work as a layering piece.",neutral
"This co-ord set made me feel so chic!",positive
"Straps keep slipping off shoulders.",negative
"Might repurpose it as loungewear.",neutral
"The inner lining adds extra comfort!",positive
"Item is shorter than shown online.",negative
"Adequate quality for price paid.",neutral
"The stitching quality is next level!",positive
"Loose fit, not true to description.",negative
"Fine for grocery runs, not more.",neutral
"The color is bright and cheerful!",positive
"Threads were sticking out. Poor QC.",negative
"Not the worst, not the best.",neutral
"This dress makes me feel like royalty!",positive
"The neckline was stitched so tight, I couldn’t breathe.",negative
"Looks okay, feels average.",neutral
"I got stopped twice at the mall for compliments!",positive
"Fabric feels rough and unwashed.",negative
"Not too impressed, not too disappointed.",neutral
"Love the flowy design and flattering fit!",positive
"The hem came undone within hours of wearing.",negative
"Simple piece. Serves the purpose.",neutral
"The embroidery is absolutely stunning!",positive
"Zip broke on the very first try. Disappointing.",negative
"Decent daily wear, nothing extraordinary.",neutral
"Finally a dress that fits me perfectly!",positive
"Color looks nothing like the photos.",negative
"Average. I’ve seen better for the price.",neutral
"The pastel shades are perfect for summer.",positive
"Loose stitches everywhere. Quality lacking.",negative
"Fine to wear around the house.",neutral
"This kurti is elegance personified!",positive
"One sleeve is longer than the other—why?",negative
"Can be worn casually, but won’t stand out.",neutral
"Exactly what I wanted—classy and comfy!",positive
"The seam ripped during first wear.",negative
"Style is outdated but still wearable.",neutral
"Feels luxurious without breaking the bank.",positive
"Looks reused. Came wrinkled and dusty.",negative
"Okay fit. Could have been better stitched.",neutral
"The flair is so flattering on my shape!",positive
"Very tight near the arms, uncomfortable.",negative
"Neutral vibe, goes with anything.",neutral
"I wore it to a wedding and felt gorgeous!",positive
"Overpriced for the material used.",negative
"Safe choice, blends in the wardrobe.",neutral
"This dupatta gives such a royal feel!",positive
"Wrong size delivered. Waste of time.",negative
"Acceptable quality, nothing premium.",neutral
"The tassel details are beautifully done!",positive
"Fabric shrank after one wash.",negative
"Not very stylish, but usable.",neutral
"I absolutely adore the fitting of this dress!",positive
"Color bled and ruined my white pants.",negative
"Can be used for layering.",neutral
"Felt super confident walking into my meeting!",positive
"Button fell off before I even wore it.",negative
"A regular piece. No drama.",neutral
"The dress hugs the waist perfectly!",positive
"Material feels thin and cheap.",negative
"Simple enough for office wear.",neutral
"This outfit screams classy and modern!",positive
"Received the wrong item altogether.",negative
"Expected more, got less.",neutral
"The fit is magical! I need more!",positive
"Arrived with a lipstick stain. Gross.",negative
"Neither here nor there. Just okay.",neutral
"The neckline detail is so flattering!",positive
"Tag says medium, fits like an XS.",negative
"Feels like a budget choice.",neutral
"This set made me feel like a fashion blogger!",positive
"The threadwork is scratchy and unfinished.",negative
"Looks better online than in person.",neutral
"I twirled in this dress like a kid!",positive
"Fraying edges on the sleeves.",negative
"Casual look, nothing bold.",neutral
"I feel effortlessly stylish wearing this!",positive
"The back zip is misaligned.",negative
"Expected quality is missing.",neutral
"The print is vibrant and fresh!",positive
"Color faded after just one hand wash.",negative
"Nothing special. Plain but wearable.",neutral
"This kurta fits like a dream!",positive
"Fabric smells musty out of the package.",negative
"A bit too plain for my taste.",neutral
"The layering on this top is perfect!",positive
"Poorly stitched hemline came apart.",negative
"It works for small gatherings.",neutral
"The lace on the sleeves is so delicate and pretty!",positive
"Too transparent to wear without layers.",negative
"Not something I’d wear often.",neutral
"Felt confident and comfortable all day!",positive
"Fabric tore near the shoulder seam.",negative
"Not flashy, not dull.",neutral
"This piece elevated my entire wardrobe!",positive
"Color mismatched with the blouse.",negative
"Kind of bland in style.",neutral
